Module,Module Explanation,L2 Classification,L2 Explanation,Lead Metric,Lag Metric,,Check
Stock SIP,"To classify Stock SIP feedback, identify PRD’s that explicitly mention ""Stock SIP,"" Systematic Investment Plan for stocks, Equity SIP, or similar terms indicating systematic investments in individual stocks. Include feedback discussing the creation, modification, or cancellation of Stock SIPs, as well as issues related to their execution, payments, scheduling, or failures. Additionally, classify PRD’s about Stock SIP performance along with suggestions for introducing or improving Stock SIP features. Exclude feedback unrelated to Stock SIPs, such as general SIP feedback for mutual funds, as well as generic investment feedback that does not explicitly mention Stock SIPs.",Stock SIP Mandate creation,"This category focuses on automated fund transfers for Stock SIPs, allowing users to set up and manage payment mandates easily.","Click Through Rate (CTR), Mandate Initiation, TAU (Transacting Active user), DAU (Daily Active Users)","Mandate Setup Success Rate, Mandate Setup Drop Off Rate, Failure Rate, Contact Ratio, TPS (Touch Point Score)., Retry Rate, Revenue",,
Stock SIP,"To classify Stock SIP feedback, identify PRD’s that explicitly mention ""Stock SIP,"" Systematic Investment Plan for stocks, Equity SIP, or similar terms indicating systematic investments in individual stocks. Include feedback discussing the creation, modification, or cancellation of Stock SIPs, as well as issues related to their execution, payments, scheduling, or failures. Additionally, classify PRD’s about Stock SIP performance along with suggestions for introducing or improving Stock SIP features. Exclude feedback unrelated to Stock SIPs, such as general SIP feedback for mutual funds, as well as generic investment feedback that does not explicitly mention Stock SIPs.",Stock SIP Feature Enhancements & Addition,This category focuses on expanding the functionality of Stock SIPs by introducing new features and improving the user experience.,"Adoption rate, User Engagement/Time spent on Stock SIP section, Click Through Rate (CTR)","Avg SIP orders/ SIP (Order Per Customer) (OPC), Revenue, TPS (Touch Point Score).",,
Stock SIP,"To classify Stock SIP feedback, identify PRD’s that explicitly mention ""Stock SIP,"" Systematic Investment Plan for stocks, Equity SIP, or similar terms indicating systematic investments in individual stocks. Include feedback discussing the creation, modification, or cancellation of Stock SIPs, as well as issues related to their execution, payments, scheduling, or failures. Additionally, classify PRD’s about Stock SIP performance along with suggestions for introducing or improving Stock SIP features. Exclude feedback unrelated to Stock SIPs, such as general SIP feedback for mutual funds, as well as generic investment feedback that does not explicitly mention Stock SIPs.",Stock SIP Order Execution,"This category ensures that Stock SIP orders are placed, modified, and executed efficiently, reducing errors and delays.",Click Through Rate (CTR) on Buy/Sell,"SIP Modification rate, Revenue, OPC (Order Per Customer), SIP/Order Success rate, TPS (Touch Point Score).",,
Stock SIP,"To classify Stock SIP feedback, identify PRD’s that explicitly mention ""Stock SIP,"" Systematic Investment Plan for stocks, Equity SIP, or similar terms indicating systematic investments in individual stocks. Include feedback discussing the creation, modification, or cancellation of Stock SIPs, as well as issues related to their execution, payments, scheduling, or failures. Additionally, classify PRD’s about Stock SIP performance along with suggestions for introducing or improving Stock SIP features. Exclude feedback unrelated to Stock SIPs, such as general SIP feedback for mutual funds, as well as generic investment feedback that does not explicitly mention Stock SIPs.",Others,If the PRD does not lie under any of the above category,Click Through Rate (CTR) on Buy/Sell,"OPC (Order Per Customer), TPS (Touch Point Score)., Revenue, Contact Ratio",,
MTF,"anything related to margin traded funds, daily interest, square off, auto square off, interest, etc",MTF Interest & Charges,"This category ensures clear communication and real-time tracking of interest rates, borrowing costs, and other MTF-related charges.",Click Through Rate (CTR) ,"Contact Ratio, Revenue",,
MTF,"anything related to margin traded funds, daily interest, square off, auto square off, interest, etc",MTF Visibility & Engagement (UI/UX Improvement),"This category focuses on improving MTF discoverability, user engagement, and overall trading experience through better UI/UX enhancements.","Click Through Rate (CTR), DAU (Daily Active Users)","OPC (Order Per Customer), TPS (Touch Point Score)., Revenue",,
MTF,"anything related to margin traded funds, daily interest, square off, auto square off, interest, etc",MTF Pledging & Collateral Management,"This category focuses on simplifying stock pledging and collateral management, ensuring efficient fund utilization and compliance with trading regulations.","Click Through Rate (CTR), DAU (Daily Active Users)","OPC (Order Per Customer), TPS (Touch Point Score)., Revenue, CR (Contact Ratio)",,
MTF,"anything related to margin traded funds, daily interest, square off, auto square off, interest, etc",MTF Reporting & Statements,"The MTF Reporting & Statements category ensures that users have clear visibility into their margin trading transactions, interest payments, collateral details, and overall MTF account activity. It focuses on providing structured, accurate, and easily accessible reports to help traders track their MTF positions, obligations, and financial performance.","Click Through Rate (CTR), Downloads","Contact Ratio, TPS (Touch Point Score).",,
MTF,"anything related to margin traded funds, daily interest, square off, auto square off, interest, etc",Others,If the PRD does not lie under any of the above category,CTR Click Through Rate (CTR),"TPS (Touch Point Score)., CR (Contact Ratio)",,
Margin Pledge,"anything related to margin, incorrect margin, not updating margin, more margin, shortfall and related to pledging, unpledging",Margin Pledge Discovery and Engagement (UI/UX Improvement),"This category focuses on enhancing the visibility, accessibility, and user experience of the margin pledge feature, making it easier for traders to discover and utilize pledged collateral effectively.","Click Through Rate (CTR), DAU (Daily Active Users)","OPC (Order Per Customer), TPS (Touch Point Score)., Revenue",,
Margin Pledge,"anything related to margin, incorrect margin, not updating margin, more margin, shortfall and related to pledging, unpledging",Margin Pledge Feature Enhancements & Addition,"This category focuses on expanding functionalities and optimizing pledge management, ensuring traders can efficiently use their holdings as collateral.","Click Through Rate (CTR), DAU (Daily Active Users)","OPC (Order Per Customer), TPS (Touch Point Score)., Revenue, CR (Contact Ratio)",,
Margin Pledge,"anything related to margin, incorrect margin, not updating margin, more margin, shortfall and related to pledging, unpledging",Others,If the PRD does not lie under any of the above category,"Click Through Rate (CTR), DAU (Daily Active Users)","OPC (Order Per Customer), TPS (Touch Point Score)., Revenue, CR (Contact Ratio)",,
Refer and Earn & Offers and Rewards,"anything related to referrals, specific term with ‘RnE’, referee, referring user, referral voucher, woohoo, and discovery of OnR, subscription, subscription plans, expiry of referral voucher and anything related to offers other than referrals. Also may mention Zero 0 brokerage or discount or terms related to offer and a specific term called ‘OnR’.",Offer Discovery & Claim Enhancements,"This category focuses on improving how users find, understand, and claim offers and rewards, ensuring a seamless and engaging experience.","Click Through Rate (CTR) on Offers, Offer Claim %, DAU (Daily Active Users)","Contact Ratio, OPC (Order Per Customer), Revenue",,Done
Refer and Earn & Offers and Rewards,"anything related to referrals, specific term with ‘RnE’, referee, referring user, referral voucher, woohoo, and discovery of OnR, subscription, subscription plans, expiry of referral voucher and anything related to offers other than referrals. Also may mention Zero 0 brokerage or discount or terms related to offer and a specific term called ‘OnR’.",Personalised & Targeted Offers,"This category focuses on leveraging user behavior and preferences to create personalized, high-impact offers for better engagement and conversion.","Click Through Rate (CTR), Engagement, Offer Claim %","OPC (Order Per Customer), Revenue",,Done
Refer and Earn & Offers and Rewards,"anything related to referrals, specific term with ‘RnE’, referee, referring user, referral voucher, woohoo, and discovery of OnR, subscription, subscription plans, expiry of referral voucher and anything related to offers other than referrals. Also may mention Zero 0 brokerage or discount or terms related to offer and a specific term called ‘OnR’.",Referral Journey Enhancements,"This category focuses on optimizing the user journey in the referral process, ensuring higher conversions and better tracking of referral progress.","Click Through Rate (CTR) on Referral Link, CTR on individual clicks on Share, Ratio of Share clicks to Link Clicks ","Revenue, Referral Voucher Claim",,Done
Refer and Earn & Offers and Rewards,"anything related to referrals, specific term with ‘RnE’, referee, referring user, referral voucher, woohoo, and discovery of OnR, subscription, subscription plans, expiry of referral voucher and anything related to offers other than referrals. Also may mention Zero 0 brokerage or discount or terms related to offer and a specific term called ‘OnR’.",Subscription Plan,This category focuses on improving retention through subscription-based models and exclusive loyalty programs.,"Click Through Rate (CTR) on Subscription Plan, DAU (Daily Active Users), Total subscriptions","Contact Ratio, OPC (Order Per Customer), Revenue",,Done
Refer and Earn & Offers and Rewards,"anything related to referrals, specific term with ‘RnE’, referee, referring user, referral voucher, woohoo, and discovery of OnR, subscription, subscription plans, expiry of referral voucher and anything related to offers other than referrals. Also may mention Zero 0 brokerage or discount or terms related to offer and a specific term called ‘OnR’.",Others,If the PRD does not lie under any of the above category,"Click Through Rate (CTR), Engagement, Offer Claim %","OPC (Order Per Customer), Revenue, Contact Ratio",,
Commodity,"Anything related to Commodity trading such as crude oil, natural gas, gold and similar terms related to commodity (this can be exclusive of F&O and Option Chain)",Commodity Feature Enhancements & Additions,"This category focuses on functional upgrades, new features, and any improvements and enhancement related to trading/orders in commodity.","Click Through Rate (CTR), TAU (Transacting Active user), DAU (Daily Active Users), Adoption Rate","Revenue, TPS (Touch Point Score), OPC (Orders Per Customer)",,Done
Commodity,"Anything related to Commodity trading such as crude oil, natural gas, gold and similar terms related to commodity (this can be exclusive of F&O and Option Chain)",Commodity Trading Discovery & Engagement (UI/UX Improvement),"This category focuses on streamlining order execution, improving UX, and optimizing trade workflows for better efficiency and usability.","Click Through Rate (CTR), TAU (Transacting Active user), DAU (Daily Active Users), Adoption rate","Activations, TPS (Touch Point Score)",,Done
Commodity,"Anything related to Commodity trading such as crude oil, natural gas, gold and similar terms related to commodity (this can be exclusive of F&O and Option Chain)",Others,If the PRD does not lie under any of the above category,"Click Through Rate (CTR), TAU (Transacting Active user), DAU (Daily Active Users), Adoption Rate","OPC, Revenue, Contact Ratio, TPS (Touch Point Score)",,
Customer Support,"PRDs specifically related to interactions with customer support, IVR (Interactive voice response) defined as instances where a user reaches out to customer care through calls or emails or media or chatbot. Focus on PRD’s mentioning terms such as agent, customer support, customer experience (CX), staff, ticketing, call, or conversation, SF, SFDC , case, OCV for support, IVR, Screenshots for support, incident, salesforce, help and similar terms to support as these indicate a direct reference to customer support interactions.",Ticketing & Case Management,"This category focuses on streamlining customer issue (via Mail/Support Tickets) tracking, escalation, and resolution workflows through a structured case management system.",Number of users raising an issue,"Time to Resolve, First contact resolution rate, Escalation rate, CSAT, Reopen rate, Exchange Complaints",,Done
Customer Support,"PRDs specifically related to interactions with customer support, IVR (Interactive voice response) defined as instances where a user reaches out to customer care through calls or emails or media or chatbot. Focus on PRD’s mentioning terms such as agent, customer support, customer experience (CX), staff, ticketing, call, or conversation, SF, SFDC , case, OCV for support, IVR, Screenshots for support, incident, salesforce, help and similar terms to support as these indicate a direct reference to customer support interactions.",IVR & Call Handling,This category focuses on optimizing the Interactive Voice Response (IVR) system and improving customer call handling to reduce wait times and enhance user satisfaction.,"Call waiting time, AHT - Average Handle Time, Drop off rate","Contact ratio, Average call resolution time, First contact resolution rate, TPS (Touch Point Score)., Escalation rate, Exchange complaints",,Done
Customer Support,"PRDs specifically related to interactions with customer support, IVR (Interactive voice response) defined as instances where a user reaches out to customer care through calls or emails or media or chatbot. Focus on PRD’s mentioning terms such as agent, customer support, customer experience (CX), staff, ticketing, call, or conversation, SF, SFDC , case, OCV for support, IVR, Screenshots for support, incident, salesforce, help and similar terms to support as these indicate a direct reference to customer support interactions.",AI Chatbot & Support Automation,"This category focuses on PRDs related to alltius chatbot (Ask Angel), leveraging AI and automation to provide instant resolutions to customer queries without human intervention.","% of users accessing the chatbot, Total queries on chatbot","Deflection rate (users not reaching to Customer support after interacting with Chatbot), Thumbs up to thumbs down ratio, TPS (Touch Point Score)., CR (Contact Ratio)",,Done
Customer Support,"PRDs specifically related to interactions with customer support, IVR (Interactive voice response) defined as instances where a user reaches out to customer care through calls or emails or media or chatbot. Focus on PRD’s mentioning terms such as agent, customer support, customer experience (CX), staff, ticketing, call, or conversation, SF, SFDC , case, OCV for support, IVR, Screenshots for support, incident, salesforce, help and similar terms to support as these indicate a direct reference to customer support interactions.",Email Automation,Anything that is related to the improvement/enhancement in the automated response of customer queries via E-Mail,"Coverage (% of use-cases/dispositions covered), Accuracy","TAT for response, Reopen Rate",,Done
Customer Support,"PRDs specifically related to interactions with customer support, IVR (Interactive voice response) defined as instances where a user reaches out to customer care through calls or emails or media or chatbot. Focus on PRD’s mentioning terms such as agent, customer support, customer experience (CX), staff, ticketing, call, or conversation, SF, SFDC , case, OCV for support, IVR, Screenshots for support, incident, salesforce, help and similar terms to support as these indicate a direct reference to customer support interactions.",Others,Anything that is out of the above mentioned types can be tagged as others like backend things internal to the org can be classified here,NIL,"Contact Ratio, CSAT",,
Customer Support,"PRDs specifically related to interactions with customer support, IVR (Interactive voice response) defined as instances where a user reaches out to customer care through calls or emails or media or chatbot. Focus on PRD’s mentioning terms such as agent, customer support, customer experience (CX), staff, ticketing, call, or conversation, SF, SFDC , case, OCV for support, IVR, Screenshots for support, incident, salesforce, help and similar terms to support as these indicate a direct reference to customer support interactions.",OneHelp Enhancements,"One Help (Get help) is an in-app feature, where the client can look into the FAQs on one tab and also can raise a support ticket in another tab.","CTR (Click Through Rate) on individual modules (FAQ, Support Ticket, Chatbot), Question wise CTR under FAQ, Number of users accessing Onehelp","Deflection Rate for FAQs, Self Help CR (Contact Ratio)",,Done
Customer Support,"PRDs specifically related to interactions with customer support, IVR (Interactive voice response) defined as instances where a user reaches out to customer care through calls or emails or media or chatbot. Focus on PRD’s mentioning terms such as agent, customer support, customer experience (CX), staff, ticketing, call, or conversation, SF, SFDC , case, OCV for support, IVR, Screenshots for support, incident, salesforce, help and similar terms to support as these indicate a direct reference to customer support interactions.",OCV Enhancements,"The OCV Enhancements category focuses on providing structured reports and insights to support agents, ensuring better tracking, monitoring and resolution for client queries","Agent adoption rate with OCV, Avg Session time on OCV, Click Through Rate (CTR)","Average Resolution Time, First time Resolution Rate",,Done
Communications,"Anything related to communication about the market, and App notifications or Whatsapp or Email notification or SMS notifications related to market or holdings, banners, nudges and all sorts of communications to the user about the market, investments, news these are majorly done through Clevertap and CNS etc…",Platform level changes/ features,"This category focuses on enahncing existing systems, deprecating old ones and onboarding new platforms as well","Platform adoption (how many use-cases are covered using the platform), CTRs (Click Through Rate) for comms",Total number of users communicuted through the platform ,,done
Communications,"Anything related to communication about the market, and App notifications or Whatsapp or Email notification or SMS notifications related to market or holdings, banners, nudges and all sorts of communications to the user about the market, investments, news these are majorly done through Clevertap and CNS etc…",Nudge & Behavorial Communication,"This category focuses on sending nudges and real-time behavior-based triggers to guide users toward desired actions, such as completing transactions, setting alerts, or improving financial decisions.","(Click Through Rate) on Nudges, Close rate, Inactioned %",Conversion from nudges (people actioning and engaging with the module/ feature),Overall nudges and PNs (any kind of communication)/ user,done
Communications,"Anything related to communication about the market, and App notifications or Whatsapp or Email notification or SMS notifications related to market or holdings, banners, nudges and all sorts of communications to the user about the market, investments, news these are majorly done through Clevertap and CNS etc…",Notification & Alerts System,"This category ensures that important notifications, alerts, and transactional and promotional updates reach users without delay, maintaining a seamless and informed trading experience.","Delivery rate, Notification/Alerts CTR (Click Through Rate) for comms, Inactioed %",Conversion from PNs (people actioning and engaging with the module/ feature),Overall nudges and PNs (any kind of communication)/ user,done
Communications,"Anything related to communication about the market, and App notifications or Whatsapp or Email notification or SMS notifications related to market or holdings, banners, nudges and all sorts of communications to the user about the market, investments, news these are majorly done through Clevertap and CNS etc…",Other forms of comms,"This category focuses on delivering messages across multiple channels consistently, ensuring users receive information in their preferred format (app, email, SMS, WhatsApp etc.).","Delivery rate, CTRs (Click Through Rate) for comms on whatsapp messages, email open rate","Conversion from email/ whatsapp, etc.",,done
Charts,"anything related to charts, indicators, candles, charts components, drawings, graphs, lines, saving the chart and chart customization etc.",Charts Feature Enhancements & Additions,This category involves adding new functionality or enhancing charting capabilities,Click Through Rate (CTR),"Orders through Charts, Revenue, CR (Contact Ratio)",,
Charts,"anything related to charts, indicators, candles, charts components, drawings, graphs, lines, saving the chart and chart customization etc.",Charts Engagement (UI/UX Improvement),"This category focuses on improving usability, layout, or design aspects to improve user interaction.",Click Through Rate (CTR),"Orders through Charts, Revenue, CR (Contact Ratio)",,
Charts,"anything related to charts, indicators, candles, charts components, drawings, graphs, lines, saving the chart and chart customization etc.",Charts Backend Improvement,"Charts Backend Improvement refers to enhancements made to the underlying systems, services, or data infrastructure that support chart functionalities in a trading platform.",NIL,"TPS (Touch Point Score), CR (Contat Ratio)",,
Stock Details,"anything related to stock details, sector heat map, corporate action, analysis, events, stock information, etc",Stock Details Discovery and Engagement (UI/UX Improvement),"This category focuses on enhancing the user interface (UI) and user experience (UX) for discovering and engaging with stock-specific information. It ensures users can easily access, understand, and interact with key stock data such as fundamentals, charts, news, price movements, and insights. The goal is to provide a visually appealing, intuitive, and informative experience that supports confident and informed investment decisions.","Click Through Rate (CTR), TAU (Transacting Active user), DAU (Daily Active Users)","Order Per Customer (OPC), Revenue, TPS (Touch Point Promoter Score), Contact Ratio",,
Stock Details,"anything related to stock details, sector heat map, corporate action, analysis, events, stock information, etc",Stock Details Feature Enhancements & Addition,"This category focuses on adding new functionalities and improving the overall experience within the stock details section. It aims to offer users deeper insights, better interactivity, and easier access to relevant stock-related information. The goal is to support more informed decision-making. These enhancements contribute to improved engagement and usability.","Click Through Rate (CTR), TAU (Transacting Active user), DAU (Daily Active Users)","Order Per Customer (OPC), Revenue, TPS (Touch Point Promoter Score), Contact Ratio",,
Stock Details,"anything related to stock details, sector heat map, corporate action, analysis, events, stock information, etc",Others,If the PRD does not lie under any of the above category,Click Through Rate (CTR),"TPS (Touch Point Score), Revenue, Contact Ratio",,
